#KEY	Filter on data 192: Filtered BAM	Filter on data 184: Filtered BAM	Filter on data 182: Filtered BAM	Filter on data 194: Filtered BAM	Filter on data 188: Filtered BAM	Filter on data 196: Filtered BAM	Filter on data 190: Filtered BAM	Filter on data 186: Filtered BAM
TU6094	5	8	6	5	7	5	7	3
TU6095	36	52	53	25	63	43	11	22
TU6096	265	256	256	208	284	116	133	132
TU6097	87	46	77	65	107	30	63	33
TU6098	170	109	120	111	134	52	49	49
TU6099	30	23	27	11	29	9	8	11
TU61	70	46	63	42	61	28	46	42
TU610	360	250	451	271	316	218	328	336
TU6100	13	20	15	17	22	10	14	9
TU6101	77	48	66	90	92	24	40	64
TU6102	4	16	4	7	17	4	8	8
TU6103	52	17	38	19	17	6	23	15
TU6104	1398	1373	1321	1440	1910	546	788	755
TU611	889	601	710	838	878	428	463	552
TU612	1256	1406	1507	1161	1276	1252	932	781
TU613	1040	1066	1149	1163	1043	1047	901	611
TU614	168	114	165	122	175	108	129	124
TU615	1934	1870	2118	1779	1875	1515	1270	1208
TU616	2777	2147	3024	2320	2617	2144	2337	2027
TU617	0	0	1	1	2	5	0	0
TU618	129	103	109	113	126	127	121	95
TU619	10	21	14	17	8	21	5	10
TU62	229	167	232	182	208	119	140	144
TU620	60	67	72	55	70	103	53	49
TU621	755	810	722	603	710	721	705	723
TU622	431	316	713	825	679	406	288	313
TU623	65	61	48	54	36	47	24	33
TU624	289	296	255	278	281	110	132	153
TU625	24	22	31	31	26	19	12	6
TU626	2221	2115	2442	2544	3037	1734	1257	1248
TU627	33421	26796	28612	42368	50329	3810	5383	7780
TU628	26	43	34	35	35	25	9	19
TU629	172	138	193	219	316	102	128	149
TU63	956	493	971	681	896	387	935	777
TU630	1416	1628	1250	1031	1142	2098	2242	1627
TU631	514	455	484	452	489	361	307	282
TU632	5226	4238	4836	4747	5268	3304	3422	2929
TU633	1164	999	1113	893	1208	1059	849	774
TU634	28	19	29	22	27	51	17	20
TU635	20	27	19	18	28	21	19	20
TU636	0	1	1	0	4	0	2	1
TU637	170	178	227	117	129	197	190	135
TU638	726	788	759	675	738	702	770	684
TU639	647	646	925	508	673	654	570	559
TU64	7	5	14	13	16	6	4	10
TU640	418	289	376	441	515	165	321	353
TU641	1034	728	1028	1199	1298	698	752	677
TU642	45	48	79	27	30	35	21	29
TU643	461	411	287	295	287	366	476	350
TU644	1046	734	887	707	902	924	677	611
TU645	119	61	74	80	142	36	70	108
TU646	854	732	1098	584	873	517	824	524
TU647	115	128	120	66	78	192	110	112
TU648	194	152	210	171	170	138	153	150
TU649	19	11	28	28	34	32	22	22
TU65	293	267	400	331	320	436	287	209
TU650	168	167	144	155	169	98	113	86
TU651	29	18	30	31	42	27	22	31
TU652	133	151	158	101	145	91	96	93
TU653	46	54	26	25	32	24	42	26
TU654	104	130	146	88	83	139	77	69
TU655	62	88	77	39	53	91	69	43
TU656	1824	1754	1999	1728	2001	1390	1181	1102
TU657	19	21	27	24	29	12	9	11
TU658	120	148	181	112	146	142	110	71
TU659	729	566	694	656	709	496	512	467
TU66	172	177	198	142	211	157	130	117
TU660	55	53	47	37	79	47	42	32
TU661	60	29	48	40	42	20	25	26
TU662	117	102	144	101	153	88	85	87
TU663	151	178	191	145	171	164	87	84
TU664	505	587	676	507	529	697	389	374
TU665	1266	1084	1578	1263	1417	909	977	835
TU666	206	154	241	154	227	152	147	120
TU667	53	24	64	53	53	42	28	33
TU668	56	50	80	56	78	44	38	45
TU669	27	29	21	14	28	11	21	13
TU67	362	274	403	371	385	232	259	220
TU670	26	20	19	22	21	18	8	6
TU671	1383	1558	1943	1485	1520	1296	1038	892
TU672	1372	1479	1667	1705	1904	1301	1346	1157
TU673	879	803	822	829	903	663	553	527
TU674	2703	1978	2561	2229	2809	1492	2148	1833
TU675	69	58	68	80	100	15	36	23
TU676	21	16	25	14	26	9	5	10
TU677	393	406	533	448	540	344	315	306
TU678	60	39	41	57	90	11	32	22
TU679	1904	1931	2377	2204	2463	2719	2247	1855
TU68	21	3	6	16	19	0	9	4
TU680	633	714	773	618	688	739	630	488
TU681	620	561	677	563	524	633	852	637
TU682	5	3	12	2	11	5	6	8
TU683	1366	1346	1666	1331	1541	1406	998	921
TU684	730	489	727	512	645	608	515	518
TU685	2696	2574	3001	3018	2976	2296	2088	1885
TU686	34	41	30	31	14	36	28	15
TU687	52	37	55	33	34	28	30	18
TU688	6	6	8	9	8	3	2	6
TU689	194	197	219	235	286	175	176	170
TU69	777	772	908	751	882	633	644	535
TU690	542	352	746	698	815	338	327	334
TU691	326	344	370	294	291	375	271	215
TU692	420	342	437	434	556	236	270	209
TU693	75	54	73	50	74	34	60	40
TU694	11	20	17	15	21	19	11	12
TU695	2372	1884	2017	2024	2525	1437	1663	1619
TU696	519	529	348	258	372	346	536	332
TU697	126	65	127	103	89	56	59	67
TU698	1186	636	848	551	752	416	609	592
TU699	1237	744	1092	819	876	432	784	767
TU7	753	1500	1335	708	729	1965	992	560
TU70	285	250	249	278	416	241	182	328
TU700	6769	5084	6794	5069	6626	3200	5593	3782
TU7001	118	126	148	105	113	111	80	69
TU7002	968	732	1066	754	789	266	505	431
TU7003	2	0	0	2	4	0	0	0
TU7004	466	419	480	388	476	184	341	272
TU7005	1020	1014	1283	635	789	472	536	330
TU7006	0	0	0	0	0	0	0	0
TU7007	0	0	0	0	0	0	0	0
TU7008	57	90	96	31	36	36	34	25
TU7009	28	25	29	31	49	2	6	6
TU701	932	699	1048	964	1138	440	672	509
TU7010	87	73	87	89	81	8	35	27
TU7011	1516	1525	1421	1780	1915	323	475	502
TU7012	666	695	810	404	579	180	255	204
TU7013	50	37	56	50	56	10	12	19
TU7014	48	33	45	37	30	4	11	8
TU7015	277	226	260	213	226	80	77	72
TU7016	1255	855	1320	679	985	517	486	452
TU7017	22	3	7	8	10	1	13	4
TU7018	127	106	136	122	158	51	56	32
TU7019	108	79	92	86	95	17	47	54
TU702	732	586	994	607	782	741	563	511
TU7020	367	294	334	228	325	65	96	95
TU7021	118	128	111	99	118	44	44	23
TU7022	126	74	98	124	144	39	26	65
TU7023	195	153	208	181	233	94	105	90
TU7024	222	252	268	153	137	95	100	68
TU7025	229	184	213	127	166	91	105	52
