rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU603	197.0169937194986	0.14266771555394703	0.19855311480200172	0.7185367789179036	0.472426378874815	0.8128594381038606
TU730	2704.429465457578	-0.09506595029864841	0.13202639072614783	-0.7200526332332782	0.4714925897581305	0.8128594381038606
TU738	55.71332711938065	-0.23850121043039477	0.3328793465814223	-0.716479447823169	0.47369535347528025	0.8128594381038606
TU5008	32.99039802518654	0.2640924054528134	0.36979509188035287	0.7141587631948896	0.47512901268952595	0.8129057437273619
TU1268	1883.5891338971574	-0.11763206109024614	0.16483519754577441	-0.7136343623307755	0.4754533035693537	0.8130844983370501
TU22	17.554704470804644	0.33567712135570477	0.47131440048453344	0.7122148633918524	0.47633173432435866	0.8134095593738295
TU3526	16.733780709153596	0.35360254147069414	0.49668737598266505	0.7119217410571661	0.4765132383908707	0.8134095593738295
TU540	75.86397380796498	0.22423842298891325	0.3146836703065799	0.7125836010824758	0.47610346233876655	0.8134095593738295
TU952	250.04080354691843	-0.14120542805050454	0.1983484154218521	-0.7119060051484933	0.47652298328280307	0.8134095593738295
TU2823	38.84710689884465	-0.23712397943688443	0.33360117778902154	-0.7108007861616367	0.4772076934039761	0.8138272281702663
TU3534	40.247843681056956	0.24053065925613623	0.33823764545341284	0.711129179407872	0.47700418956825424	0.8138272281702663
TU2160	291.8245592788545	-0.14710149856491667	0.20718661878663688	-0.7099951696996583	0.4777071315537093	0.8143035389940879
TU3299	127.33992737346422	-0.14942687243803976	0.21058253760270204	-0.7095881460026742	0.4779595726532728	0.8143585717385795
TU1098	166.37957484065987	-0.1564733198672615	0.22143881243471877	-0.7066210216124177	0.47980202167862385	0.8146512962076652
TU2497	125.34756879774946	0.15418661018746477	0.21815166075433787	0.7067863231217635	0.47969927518348215	0.8146512962076652
TU269	19.137161127978935	0.38772840628994176	0.5485129283642267	0.706871955500163	0.47964605336707794	0.8146512962076652
